"","GeneID","Cluster"
"1","ENSG00000115353","cluster1"
"2","ENSG00000123485","cluster1"
"3","ENSG00000114812","cluster1"
"4","ENSG00000175063","cluster1"
"5","ENSG00000278828","cluster1"
"6","ENSG00000164087","cluster1"
"7","ENSG00000076382","cluster1"
"8","ENSG00000266964","cluster1"
"9","ENSG00000091651","cluster1"
"10","ENSG00000164611","cluster1"
"11","ENSG00000186185","cluster1"
"12","ENSG00000165304","cluster1"
"13","ENSG00000177045","cluster1"
"14","ENSG00000179862","cluster1"
"15","ENSG00000011426","cluster1"
"16","ENSG00000157456","cluster1"
"17","ENSG00000111665","cluster1"
"18","ENSG00000073111","cluster1"
"19","ENSG00000079931","cluster1"
"20","ENSG00000123473","cluster1"
"21","ENSG00000013810","cluster1"
"22","ENSG00000171848","cluster1"
"23","ENSG00000166851","cluster1"
"24","ENSG00000164930","cluster1"
"25","ENSG00000139734","cluster1"
"26","ENSG00000155629","cluster1"
"27","ENSG00000166451","cluster1"
"28","ENSG00000172123","cluster1"
"29","ENSG00000128602","cluster1"
"30","ENSG00000148926","cluster1"
"31","ENSG00000178999","cluster1"
"32","ENSG00000129474","cluster1"
"33","ENSG00000065534","cluster1"
"34","ENSG00000185650","cluster1"
"35","ENSG00000137693","cluster1"
"36","ENSG00000146670","cluster1"
"37","ENSG00000143891","cluster1"
"38","ENSG00000137807","cluster1"
"39","ENSG00000116096","cluster1"
"40","ENSG00000111602","cluster1"
"41","ENSG00000075702","cluster1"
"42","ENSG00000084093","cluster1"
"43","ENSG00000116478","cluster1"
"44","ENSG00000258472","cluster1"
"45","ENSG00000161940","cluster1"
"46","ENSG00000074047","cluster1"
"47","ENSG00000013573","cluster1"
"48","ENSG00000101773","cluster1"
"49","ENSG00000051341","cluster1"
"50","ENSG00000174371","cluster1"
"51","ENSG00000120158","cluster1"
"52","ENSG00000064545","cluster1"
"53","ENSG00000143476","cluster1"
"54","ENSG00000144554","cluster1"
"55","ENSG00000140534","cluster1"
"56","ENSG00000132383","cluster1"
"57","ENSG00000147536","cluster1"
"58","ENSG00000110400","cluster1"
"59","ENSG00000187664","cluster1"
"60","ENSG00000254979","cluster1"
"61","ENSG00000087586","cluster1"
"62","ENSG00000104870","cluster1"
"63","ENSG00000131153","cluster1"
"64","ENSG00000116117","cluster1"
"65","ENSG00000065328","cluster1"
"66","ENSG00000180914","cluster1"
"67","ENSG00000159259","cluster1"
"68","ENSG00000117399","cluster1"
"69","ENSG00000173040","cluster1"
"70","ENSG00000162627","cluster1"
"71","ENSG00000171812","cluster1"
"72","ENSG00000167670","cluster1"
"73","ENSG00000254535","cluster1"
"74","ENSG00000187837","cluster1"
"75","ENSG00000177602","cluster1"
"76","ENSG00000157978","cluster1"
"77","ENSG00000152661","cluster1"
"78","ENSG00000134802","cluster1"
"79","ENSG00000134057","cluster1"
"80","ENSG00000147813","cluster1"
"81","ENSG00000053918","cluster1"
"82","ENSG00000144395","cluster1"
"83","ENSG00000152253","cluster1"
"84","ENSG00000040275","cluster1"
"85","ENSG00000151617","cluster1"
"86","ENSG00000118193","cluster1"
"87","ENSG00000125414","cluster1"
"88","ENSG00000107554","cluster1"
"89","ENSG00000100302","cluster1"
"90","ENSG00000126787","cluster1"
"91","ENSG00000162836","cluster1"
"92","ENSG00000109674","cluster1"
"93","ENSG00000198721","cluster1"
"94","ENSG00000163918","cluster1"
"95","ENSG00000169679","cluster1"
"96","ENSG00000076716","cluster1"
"97","ENSG00000228716","cluster1"
"98","ENSG00000145386","cluster1"
"99","ENSG00000105607","cluster1"
"100","ENSG00000175183","cluster1"
"101","ENSG00000132646","cluster1"
"102","ENSG00000153044","cluster1"
"103","ENSG00000196584","cluster1"
"104","ENSG00000284917","cluster1"
"105","ENSG00000112312","cluster1"
"106","ENSG00000106546","cluster1"
"107","ENSG00000139618","cluster1"
"108","ENSG00000077514","cluster1"
"109","ENSG00000175287","cluster1"
"110","ENSG00000156970","cluster1"
"111","ENSG00000121064","cluster1"
"112","ENSG00000122952","cluster1"
"113","ENSG00000138646","cluster1"
"114","ENSG00000141510","cluster1"
"115","ENSG00000184661","cluster1"
"116","ENSG00000278318","cluster1"
"117","ENSG00000154839","cluster1"
"118","ENSG00000104213","cluster1"
"119","ENSG00000075234","cluster1"
"120","ENSG00000197153","cluster1"
"121","ENSG00000167173","cluster1"
"122","ENSG00000186297","cluster1"
"123","ENSG00000136492","cluster1"
"124","ENSG00000198826","cluster1"
"125","ENSG00000167614","cluster1"
"126","ENSG00000170312","cluster1"
"127","ENSG00000132256","cluster1"
"128","ENSG00000156381","cluster1"
"129","ENSG00000124782","cluster1"
"130","ENSG00000188153","cluster1"
"131","ENSG00000135476","cluster1"
"132","ENSG00000090530","cluster1"
"133","ENSG00000117650","cluster1"
"134","ENSG00000197181","cluster1"
"135","ENSG00000121152","cluster1"
"136","ENSG00000010292","cluster1"
"137","ENSG00000089685","cluster1"
"138","ENSG00000105974","cluster1"
"139","ENSG00000183765","cluster1"
"140","ENSG00000035928","cluster1"
"141","ENSG00000144791","cluster1"
"142","ENSG00000172403","cluster1"
"143","ENSG00000129680","cluster1"
"144","ENSG00000137843","cluster1"
"145","ENSG00000101868","cluster1"
"146","ENSG00000119655","cluster1"
"147","ENSG00000036672","cluster1"
"148","ENSG00000072571","cluster1"
"149","ENSG00000111581","cluster1"
"150","ENSG00000187550","cluster1"
"151","ENSG00000111247","cluster1"
"152","ENSG00000197555","cluster1"
"153","ENSG00000130413","cluster1"
"154","ENSG00000118777","cluster1"
"155","ENSG00000140451","cluster1"
"156","ENSG00000151500","cluster1"
"157","ENSG00000168389","cluster1"
"158","ENSG00000165244","cluster1"
"159","ENSG00000116285","cluster1"
"160","ENSG00000153046","cluster1"
"161","ENSG00000128708","cluster1"
"162","ENSG00000159055","cluster1"
"163","ENSG00000145779","cluster1"
"164","ENSG00000164199","cluster1"
"165","ENSG00000114346","cluster1"
"166","ENSG00000080839","cluster1"
"167","ENSG00000112742","cluster1"
"168","ENSG00000024526","cluster1"
"169","ENSG00000185745","cluster1"
"170","ENSG00000164109","cluster1"
"171","ENSG00000158246","cluster1"
"172","ENSG00000269343","cluster1"
"173","ENSG00000164934","cluster1"
"174","ENSG00000110092","cluster1"
"175","ENSG00000166788","cluster1"
"176","ENSG00000138346","cluster1"
"177","ENSG00000285854","cluster1"
"178","ENSG00000115648","cluster1"
"179","ENSG00000146143","cluster1"
"180","ENSG00000187123","cluster1"
"181","ENSG00000172318","cluster1"
"182","ENSG00000111716","cluster1"
"183","ENSG00000064102","cluster1"
"184","ENSG00000171227","cluster1"
"185","ENSG00000164167","cluster1"
"186","ENSG00000181472","cluster1"
"187","ENSG00000197275","cluster1"
"188","ENSG00000103534","cluster1"
"189","ENSG00000137574","cluster1"
"190","ENSG00000130741","cluster1"
"191","ENSG00000113048","cluster1"
"192","ENSG00000135525","cluster1"
"193","ENSG00000142864","cluster1"
"194","ENSG00000157303","cluster1"
"195","ENSG00000151466","cluster1"
"196","ENSG00000031691","cluster1"
"197","ENSG00000151338","cluster1"
"198","ENSG00000170855","cluster1"
"199","ENSG00000155438","cluster1"
"200","ENSG00000000460","cluster1"
"201","ENSG00000082438","cluster1"
"202","ENSG00000173157","cluster1"
"203","ENSG00000119969","cluster1"
"204","ENSG00000266302","cluster1"
"205","ENSG00000165501","cluster1"
"206","ENSG00000133119","cluster1"
"207","ENSG00000157782","cluster1"
"208","ENSG00000144736","cluster1"
"209","ENSG00000163492","cluster1"
"210","ENSG00000198856","cluster1"
"211","ENSG00000049283","cluster1"
"212","ENSG00000119866","cluster1"
"213","ENSG00000112218","cluster1"
"214","ENSG00000161547","cluster1"
"215","ENSG00000265817","cluster1"
"216","ENSG00000147592","cluster1"
"217","ENSG00000131732","cluster1"
"218","ENSG00000115107","cluster1"
"219","ENSG00000109534","cluster1"
"220","ENSG00000100479","cluster1"
"221","ENSG00000162623","cluster1"
"222","ENSG00000109846","cluster1"
"223","ENSG00000145088","cluster1"
"224","ENSG00000112419","cluster1"
"225","ENSG00000172340","cluster1"
"226","ENSG00000089006","cluster1"
"227","ENSG00000132330","cluster1"
"228","ENSG00000147257","cluster1"
"229","ENSG00000136982","cluster1"
"230","ENSG00000123975","cluster1"
"231","ENSG00000118507","cluster1"
"232","ENSG00000185483","cluster1"
"233","ENSG00000117593","cluster1"
"234","ENSG00000138738","cluster1"
"235","ENSG00000133773","cluster1"
"236","ENSG00000136868","cluster1"
"237","ENSG00000144199","cluster1"
"238","ENSG00000126226","cluster1"
"239","ENSG00000178921","cluster1"
"240","ENSG00000203952","cluster1"
"241","ENSG00000124875","cluster1"
"242","ENSG00000120800","cluster1"
"243","ENSG00000100206","cluster1"
"244","ENSG00000198554","cluster1"
"245","ENSG00000288681","cluster1"
"246","ENSG00000124440","cluster1"
"247","ENSG00000099849","cluster1"
"248","ENSG00000126010","cluster1"
"249","ENSG00000101003","cluster1"
"250","ENSG00000245848","cluster1"
"251","ENSG00000178105","cluster1"
"252","ENSG00000186871","cluster1"
"253","ENSG00000154310","cluster1"
"254","ENSG00000143149","cluster1"
"255","ENSG00000165490","cluster1"
"256","ENSG00000128045","cluster1"
"257","ENSG00000135747","cluster1"
"258","ENSG00000115053","cluster1"
"259","ENSG00000143674","cluster1"
"260","ENSG00000188610","cluster1"
