SampleID,Factor,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller,Tissue,Condition
AroLITE_24_2,NGN2_24h_AroLITE,2,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_AroLITE_2_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_24h_AroLITE_2_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_AroLITE_2_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_24h_AroLITE_2_peaks.narrowPeak,narrow,NA,24
AroLITE_24_3,NGN2_24h_AroLITE,3,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_AroLITE_3_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_24h_AroLITE_3_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_AroLITE_3_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_24h_AroLITE_3_peaks.narrowPeak,narrow,NA,24
AroPERFECT_24_2,NGN2_24h_AroPERFECT,2,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_AroPERFECT_2_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_24h_AroPERFECT_2_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_AroPERFECT_2_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_24h_AroPERFECT_2_peaks.narrowPeak,narrow,NA,24
AroPERFECT_24_3,NGN2_24h_AroPERFECT,3,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_AroPERFECT_3_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_24h_AroPERFECT_3_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_AroPERFECT_3_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_24h_AroPERFECT_3_peaks.narrowPeak,narrow,NA,24
NGN2_24_1,NGN2_24h_WT,1,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_WT_1_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_24h_WT_1_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_WT_1_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_24h_WT_1_peaks.narrowPeak,narrow,NA,24
NGN2_24_2,NGN2_24h_WT,2,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_WT_2_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_24h_WT_2_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_24h_WT_2_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_24h_WT_2_peaks.narrowPeak,narrow,NA,24
AroLITE_48_1,NGN2_48h_AroLITE,1,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_48h_AroLITE_1_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_48h_AroLITE_1_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_48h_AroLITE_1_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_48h_AroLITE_1_peaks.narrowPeak,narrow,NA,48
AroLITE_48_2,NGN2_48h_AroLITE,2,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_48h_AroLITE_2_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_48h_AroLITE_2_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_48h_AroLITE_2_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_48h_AroLITE_2_peaks.narrowPeak,narrow,NA,48
AroLITE_48_3,NGN2_48h_AroLITE,3,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_48h_AroLITE_3_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_48h_AroLITE_3_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_48h_AroLITE_3_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_48h_AroLITE_3_peaks.narrowPeak,narrow,NA,48
AroPERFECT_48_1,NGN2_48h_AroPERFECT,1,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_48h_AroPERFECT_1_hg38.bwa.srt.md.bam,ZIP13K2_NGN2_48h_AroPERFECT_1_input,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/BAM/ZIP13K2_NGN2_48h_AroPERFECT_1_input_hg38.bwa.srt.md.bam,/Users/magalhae/Desktop/Julian_ChIPseq_NGN2/narrowPeaks/ZIP13K2_NGN2_48h_AroPERFECT_1_peaks.narrowPeak,narrow,NA,48
