Gene_name,stat
Parm1,30.634
Stap2,30.44
Ccdc136,23.125
Dgkg,22.998
Rdh5,22.288
Slc35g1,22.093
Lman1l,21.436
Htr2b,21.276
Slc31a2,20.831
Edem2,20.823
Tmx4,20.803
Mcam,20.759
Zfp185,20.585
Col4a5,19.83
Sytl1,19.227
Slc25a19,19.061
Pam,18.931
Ripor3,18.802
Ltbp3,18.657
Gpr179,18.528
Mknk2,18.245
Mvb12b,18.161
Dennd3,18.057
Slc37a2,17.772
Mrgprf,17.749
Timp2,17.607
Grina,17.56
Sbk1,17.526
Enpp5,17.441
Ankrd35,17.409
Fam171b,17.406
Adam15,17.385
Pld3,17.304
Ypel3,17.17
Ttc13,17.121
Arsb,17.12
Plin4,17.108
Slc5a5,17.057
Dock8,16.998
Atp9a,16.916
Map2,16.905
Gbp3,16.857
Glrx2,16.826
Perm1,16.786
Pcyox1,16.623
Lrrc73,16.497
Acot11,16.493
Krt80,16.441
Nabp1,16.278
Lynx1,16.273
Vwa8,16.224
Ankrd2,16.179
Dusp14,16.145
Itga6,15.896
Mylk2,15.865
Kcnn3,15.837
Shisa4,15.717
Klhl13,15.617
Ermp1,15.536
Eps8l2,15.408
Pomgnt2,15.38
Steap3,15.355
Slc38a1,15.303
Gnb3,15.184
Lyrm9,15.071
Susd2,14.936
Dpp6,14.867
Cpeb3,14.801
Rps6ka1,14.767
Plvap,14.748
Cd55,14.698
Slc25a42,14.587
Slc9a3r1,14.501
Pdk2,14.418
Src,14.387
Fhl3,14.383
Mfng,14.365
Gale,14.341
Asb10,14.338
Slc6a17,14.311
Hspb6,14.234
Fig4,14.175
Gpt,14.051
Podnl1,14.041
Ctsf,14.04
Rap1gap,14.009
Pfkl,14.007
Ctsz,13.97
Coq10a,13.93
Mbnl3,13.89
Cldn2,13.799
Mettl26,13.725
Rassf2,13.707
Psd3,13.7
Tgm2,13.669
Clu,13.559
Slc45a4,13.501
Ajm1,13.498
Epb41,13.462
Qsox1,13.421
Plbd2,13.419
Wfs1,13.387
Adam8,13.384
Adm,13.383
Abca3,13.344
Dnm1,13.335
Pkp2,13.324
Gdpd1,13.269
Slc7a4,13.225
Tmem184b,13.222
Slc9a7,13.163
Fbxl16,13.162
Cystm1,13.144
Gipr,13.127
Pdk1,13.118
Galns,13.041
Arhgap44,13.034
Acacb,12.954
Tecpr1,12.953
Fam214b,12.951
Cdk16,12.871
Glb1,12.87
Akr1b10,12.802
Hip1,12.737
Dhx32,12.717
Lpin1,12.638
Axl,12.629
Inpp4a,12.618
Gpd1,12.592
Mink1,12.546
Tmem117,12.532
Slc41a3,12.529
Prex1,12.523
Snap47,12.513
Stau2,12.483
Agpat3,12.48
Phkg1,12.471
Ppp2r5b,12.471
Rnd1,12.47
Hhipl1,12.466
Kank1,12.454
Dgkz,12.426
Selenom,12.419
Rnpep,12.403
Neu1,12.387
Ltbp1,12.379
Man2b2,12.376
Cd99l2,12.332
Pon3,12.331
Tef,12.313
Pnpla7,12.281
Rnf123,12.242
Nmrk2,12.223
Atp11b,12.218
Tlcd4,12.205
Serpinb9e,12.177
Bglap2,12.174
Tmbim1,12.167
Gpd1l,12.157
Map3k20,12.149
Asl,12.088
Plekhn1,12.079
Col17a1,12.058
Ifi35,12.02
Nub1,12.007
Atg4c,11.991
Hspb8,11.939
Rnf144b,11.921
Tmem158,11.902
Ep400,11.901
Serpinb9g,11.897
Tiam1,11.883
Sort1,11.876
Ifi30,11.874
Tspan3,11.851
Agmat,11.806
Ostm1,11.804
Dnaja4,11.753
Cmtm7,11.724
Tgm5,11.72
Nceh1,11.711
Lingo3,11.708
Ninj1,11.708
Fam131c,11.691
Adgrg6,11.684
Gpi1,11.673
Loxl4,11.638
Slc22a4,11.592
Arl5a,11.548
Nbl1,11.546
Hdac11,11.538
BC029722,11.526
Mboat2,11.518
Pdk3,11.516
Gdf11,11.511
Ankrd46,11.495
Ccndbp1,11.495
Cetn4,11.468
Dmpk,11.405
Ptpre,11.398
Vps45,11.385
Stim2,11.372
Tspan33,11.332
Ttll7,11.31
Ndrg4,11.288
Acbd4,11.285
Bhlhb9,11.266
Ube2g1,11.264
Herc3,11.245
Acyp2,11.202
Ttc7,11.185
Ccdc194,11.137
Stard10,11.129
Adssl1,11.127
Tmem25,11.126
Fez1,11.121
Eml5,11.11
Atp11a,11.101
Gmpr,11.095
Ano1,11.085
Angel1,11.056
Otud1,11.041
Mreg,11.018
Extl1,10.991
Ptpn3,10.99
Mgat4a,10.984
Fuca2,10.98
Ppargc1a,10.968
Got2,10.939
Smpd1,10.914
Rab11fip3,10.896
Nlrc3,10.858
Plod1,10.829
Naaa,10.816
Il17re,10.806
Abcc9,10.804
Lrrn4cl,10.788
Arrdc1,10.78
St8sia2,10.779
Enox2,10.773
Osbpl3,10.742
Gsdma,10.725
Ino80c,10.725
Pold4,10.715
Dusp1,10.703
Ppip5k1,10.703
C2cd5,10.692
Ptprm,10.681
Pla2r1,10.662
Sparc,10.655
Hectd3,10.649
Ptpra,10.631
Hyal1,10.628
Arvcf,10.62
Heca,10.612
Trdn,10.606
Slc26a6,10.584
Atp1a1,10.581
Nrap,10.574
Twf2,10.573
Acadvl,10.559
Oplah,10.549
Exoc1,10.548
Slc33a1,10.548
Rnf139,10.542
Dusp9,10.538
Kif9,10.538
Rnf128,10.529
Rin1,10.512
Tmem164,10.505
Tcea3,10.504
Tpd52,10.49
Knop1,10.463
Phka1,10.45
Habp4,10.447
Relt,10.421
Ccdc92,10.407
Grk5,10.38
Fam234a,10.369
Slc22a23,10.356
Gpr157,10.339
Tmem8b,10.32
Qpct,10.315
Neurl1a,10.286
Ndrg3,10.27
Ubxn2a,10.267
Card19,10.258
Ldlr,10.257
Pea15a,10.229
Mindy1,10.223
Ephx1,10.204
Phf1,10.203
Ccng1,10.19
Gm14137,10.176
Klhl41,10.17
Ampd3,10.164
Nckap1l,10.156
Stac2,10.153
Morc4,10.146
Stk36,10.144
P3h2,10.132
Chmp4c,10.129
Surf4,10.123
Slc46a1,10.122
Cfl2,10.121
Apbb1,10.103
Tmem201,10.095
Wfdc1,10.085
Osbpl7,10.075
Kif1a,10.069
Pgm1,10.062
R3hdm4,10.046
Hsf2,10.035
Mcub,10.033
Mast3,10.025
Klhl31,10.018
Txlnb,10.001
Kifbp,9.972
Srebf1,9.966
Bspry,9.957
Sun1,9.953
Plek,9.945
Cpox,9.943
Acox1,9.94
Trim7,9.938
Aldh4a1,9.922
Cd276,9.919
Ctsh,9.912
Ube2h,9.902
Wdyhv1,9.899
Serinc2,9.894
Fam189a2,9.892
Dusp3,9.891
Sgcb,9.882
Cbs,9.879
Elmo1,9.875
Cds2,9.853
Herpud1,9.85
Dgkd,9.849
Radx,9.849
Tpi1,9.835
Herpud2,9.833
Ralgps1,9.833
Lmod1,9.819
2610507B11Rik,9.816
Mfge8,9.787
Hsf2bp,9.779
Trp53inp2,9.771
Maff,9.766
Atp1b2,9.757
Cltb,9.753
Mfsd6,9.753
Plekhb2,9.751
St3gal5,9.746
Uso1,9.745
Insig1,9.708
Suclg1,9.708
Ckb,9.707
P4ha1,9.706
Zbtb42,9.705
Dnajc28,9.704
Acat1,9.693
Intu,9.691
Cuedc1,9.667
Adgrg1,9.654
Aif1l,9.646
Fyco1,9.645
Hoxa7,9.635
St6galnac4,9.629
Gaa,9.567
Marchf2,9.557
Gfra4,9.538
Slc19a1,9.535
Enpp4,9.53
Sgsm3,9.529
Rab27b,9.512
Lman2l,9.511
Slc41a2,9.505
Glg1,9.503
Pick1,9.499
Galnt11,9.489
Slc7a5,9.475
Syngr2,9.45
Mov10l1,9.439
Zdhhc15,9.428
Exoc4,9.425
