Gene_name,stat
Ctrb1,34.756
Pam,34.448
Sema3d,30.597
Map2,29.347
Aqp1,29.326
Maoa,28.9
Efhd1,28.839
Rrad,28.594
Gbp8,27.46
Mtus1,26.733
Mylk,26.297
Ehd3,25.835
Gas6,25.408
Col4a5,25.337
Sfrp2,24.666
Ccdc136,24.385
Chrdl1,24.336
Daam2,24.309
Sdc3,23.878
Ntn4,23.873
Sparc,23.812
Pla1a,23.771
Pcsk6,23.584
Tgm2,22.828
Tgfbr2,22.769
Loxl2,22.681
Arsb,22.667
Fam13c,22.216
L1cam,22.095
Slc43a2,21.75
Plcb4,21.551
R3hdml,21.521
Lrrn1,21.474
Klf4,21.458
Serping1,21.165
Gm7361,21.123
Ogn,20.878
Ly6c1,20.762
Gbp9,20.591
Serinc5,20.517
Ssc5d,20.484
Epb41l3,20.443
Cldn2,20.293
Ndrg3,19.908
Epb41l5,19.829
Aebp1,19.828
Myf5,19.739
Tubb3,19.628
Adamts15,19.585
BC034090,19.56
Podnl1,19.502
Tmc3,19.43
C1qtnf6,19.072
Atp9a,19.055
Col5a2,18.96
Efnb2,18.912
Src,18.835
Tmem64,18.792
Tent5c,18.659
Ankrd46,18.619
Adgrd1,18.602
Pik3ip1,18.552
Cd59a,18.441
Zc2hc1a,18.385
Gbp4,18.318
Lpl,18.263
Enpp5,18.19
Rdh5,18.141
Colec10,18.081
C1ra,18.025
Slc40a1,18.024
Cd200,17.933
Plod2,17.896
Robo1,17.887
Dusp1,17.77
Ppm1l,17.757
Tmx4,17.711
Skap2,17.682
Ube2l6,17.618
Col1a2,17.58
Rcan2,17.492
Hip1,17.437
Clu,17.412
Insyn1,17.301
Acadm,17.118
Dock11,17.094
Tap2,17.071
Ank2,16.985
Stard10,16.922
Alg2,16.789
H6pd,16.66
H2-K1,16.606
Nucb1,16.598
Ly6a,16.471
Matn2,16.47
Adamts16,16.413
Greb1,16.385
Lta4h,16.358
Cbs,16.266
Dync1i1,16.253
Cask,16.211
Igfbp7,16.196
Pde5a,16.195
Rnf144b,16.191
Ces2c,16.145
Il4ra,16.144
Fam214a,16.056
Tspan15,16.031
Frk,15.995
Angpt4,15.965
Angptl2,15.964
Gng2,15.86
Rab27b,15.814
Brinp3,15.807
Adamts6,15.759
Mylip,15.739
Pon3,15.726
Hdac9,15.694
Mettl27,15.693
Klf2,15.63
Kcnh7,15.528
Fam171b,15.47
Tbc1d9b,15.455
Rab7b,15.432
Cercam,15.428
2510009E07Rik,15.401
Mapre2,15.354
Jun,15.328
Has1,15.319
Sulf1,15.246
Serpinb9,15.172
Thbs2,15.169
Eif1ad8,15.096
Snx7,15.03
Mfsd6,15.018
Pdk4,15.009
Ghr,14.9
Tcp11l1,14.74
Gbp10,14.681
Col23a1,14.658
Pgm1,14.641
Timp2,14.618
Grb14,14.592
Txndc16,14.54
Abca5,14.505
Edem2,14.385
Septin8,14.286
Esr1,14.215
Sema3e,14.191
B3gnt8,14.068
Ak5,14.053
Klhl5,14.026
Sema3g,14.025
Lman1l,13.986
Nabp1,13.98
Nrp1,13.978
Arl5a,13.973
Glb1,13.954
Syt17,13.945
Sh3bp5,13.874
Zhx1,13.833
Kat2b,13.771
Arnt2,13.735
Hspa2,13.704
Casp12,13.666
Lrrn4cl,13.642
Adam15,13.633
Snx10,13.572
Ctsb,13.552
Msc,13.543
Adamts12,13.533
Asah2,13.457
Eif1ad7,13.445
Nrn1,13.428
Yipf4,13.339
Lxn,13.33
Adra1b,13.304
Adora2b,13.233
Gem,13.212
Rbms2,13.208
Map1lc3a,13.181
Sema5a,13.164
Slc37a2,13.152
Fam83b,13.13
Cat,13.129
Srgn,13.107
Arf3,13.105
Lama2,13.065
Syt11,13.049
C1rl,13.042
Atrnl1,13.036
Art3,13.018
Zbtb4,12.962
Pdk1,12.943
Spsb1,12.917
Olfm1,12.907
Lrrc8b,12.893
Cpe,12.891
Igfn1,12.848
Dtx3l,12.823
Slc38a1,12.814
Il18,12.774
Pdgfc,12.73
Marchf8,12.728
Naaa,12.712
Dlx3,12.705
Klhl33,12.694
Ggta1,12.655
Bhlhb9,12.642
Arl15,12.625
Apol6,12.586
Cited2,12.586
Srpx2,12.578
Dnm1,12.57
Dbnl,12.562
Adamts1,12.557
Pcyox1,12.521
Apod,12.515
Chst3,12.444
Plekha2,12.429
Maf,12.396
Pde8a,12.35
Crip1,12.326
Ndrg1,12.18
Mrgpre,12.172
Slc6a17,12.154
Ypel3,12.135
Fam3c,12.127
Phyh,12.122
Unc5c,12.082
Fzd5,12.054
Pdgfd,12.036
Gadd45a,12.034
Rgl1,11.997
Acot11,11.994
Ctsf,11.979
St3gal2,11.97
Dhrs7,11.962
Ccnd2,11.955
Adam8,11.923
Qsox1,11.891
Mxra8,11.865
C1qtnf3,11.862
Elovl5,11.847
Slc33a1,11.835
Heg1,11.822
Lama4,11.821
St3gal1,11.814
Pclo,11.803
Cd7,11.795
Sema6a,11.774
Grina,11.757
Slc6a2,11.711
Rpgrip1l,11.709
Lrrcc1,11.687
Arsa,11.677
Tapbp,11.654
Rgmb,11.652
Lgmn,11.619
Tnfrsf23,11.618
Ccdc141,11.609
Myrf,11.565
Chn2,11.543
Stmn4,11.535
Tmem231,11.504
Slc16a11,11.496
Smpdl3a,11.492
Peg10,11.483
Slc2a13,11.432
Glrb,11.424
Dlg4,11.391
Mvb12b,11.374
Casp3,11.373
Selenop,11.364
Porcn,11.362
Atp2b4,11.292
St3gal5,11.279
Tmem106b,11.27
Sla,11.224
Wdpcp,11.207
Manba,11.205
Galnt1,11.185
Dlg5,11.16
Bbs1,11.127
Sumf1,11.124
Adarb1,11.095
Slc4a8,11.079
Nrbp2,11.073
Sytl2,11.04
Ect2l,11.037
Pdgfrl,11.017
Ptk2b,11.016
Ap3m2,11.014
Tmem123,11.013
Fosl2,10.983
Nkain1,10.981
Thbs1,10.976
Nampt,10.961
Slc16a2,10.961
Nudt18,10.945
Bglap2,10.923
Neurl1a,10.877
Tmem9,10.876
Atp1a1,10.853
Aldh7a1,10.845
Fgd3,10.836
Mpp2,10.755
Sh2d6,10.754
Lfng,10.751
Ext2,10.74
Mreg,10.729
Chrm4,10.714
Nyap1,10.709
Cpne8,10.708
Zdhhc24,10.685
Tlr2,10.674
Ces2g,10.656
Spata6,10.636
Inpp5k,10.63
Masp1,10.628
Mmp11,10.605
Fkbp10,10.602
Fam43a,10.546
Tmem25,10.496
Arl6ip1,10.494
Taok3,10.492
Fzd2,10.489
Fam219a,10.474
Tspan2,10.466
Kcnn3,10.464
Twf1,10.46
Tfpi,10.457
Myo6,10.41
Aspn,10.39
Pfkl,10.378
Tnfrsf9,10.378
Golm2,10.37
Josd2,10.345
Tlr4,10.313
Dnai4,10.287
Man2b2,10.262
Fam234b,10.23
Fbxw17,10.223
Tap1,10.193
Sh3rf1,10.191
Zdhhc2,10.191
Zfp462,10.184
Tent5a,10.182
Plekhg4,10.181
Tspan3,10.179
Rsrc1,10.142
Kalrn,10.138
Lnx2,10.136
Ndrg2,10.13
Ptpra,10.108
Eif1ad10,10.098
Adamts2,10.097
Zfp664,10.097
Tnfrsf22,10.093
Rab2b,10.082
Peli2,10.079
Zfp362,10.074
Intu,10.07
Tcea3,10.068
Ddit4,10.067
Htra3,10.059
Ift81,10.055
Mfge8,10.05
Fbxl2,10.044
Clcn1,10.043
Entpd5,10.028
Ret,10.028
Ift57,10.02
Dchs2,10.01
C3,10.009
Col6a2,10.004
Krt80,9.991
Dync2li1,9.971
Wls,9.967
Ywhaz,9.967
Plxdc2,9.965
Bmp1,9.947
Opn3,9.94
Pdgfa,9.939
Scd1,9.934
Trmt2b,9.93
Naga,9.923
P2rx5,9.915
Slc25a23,9.91
Chst12,9.906
Vangl1,9.888
A4galt,9.879
Pigt,9.879
Mrgprf,9.869
Apcdd1,9.863
Gys1,9.858
Dtx4,9.854
Epm2a,9.841
Abhd4,9.835
Ncoa7,9.832
Gbe1,9.828
Hacd3,9.808
Pitpnm2,9.806
Tmeff2,9.789
Serpinf1,9.784
Adamts8,9.783
Plppr2,9.781
Aldh3a2,9.776
Cpt1c,9.742
Haghl,9.72
Scrn3,9.717
Soga3,9.681
Plbd2,9.675
Tmem106c,9.673
C1s1,9.67
Rnf13,9.663
Pla2r1,9.654
Cd248,9.653
Enox2,9.646
Ifi30,9.646
Rgma,9.632
Ptgs1,9.617
Dpy19l3,9.6
Acss2,9.598
Ccdc92,9.581
Hltf,9.581
Plau,9.581
Atg4c,9.577
Grn,9.565
Pltp,9.556
Mbtps1,9.545
Rbl2,9.545
Ltbp1,9.535
Adm,9.479
Dapk2,9.479
Bbs2,9.472
Acadsb,9.468
Gm13889,9.465
Scpep1,9.464
Klf12,9.443
Lamc3,9.431
Rcan3,9.429
Eif1ad3,9.427
Lamp2,9.421
Ddah2,9.396
Tgfb2,9.394
Fah,9.385
Thra,9.379
Aldh6a1,9.372
Adamts5,9.368
Vash1,9.362
Zfp36l1,9.351
Csad,9.35
