RowOrder,GeneID,Cluster
1,CENPC,Early
2,DMTF1,Early
3,F12,Early
4,GAL3ST3,Early
7,DHH,Early
8,DUOX1,Early
9,CTSV,Early
10,C1R,Early
14,FRMPD2,Early
15,CCL26,Early
16,AQP5,Early
18,CHRM5,Early
20,C22orf23,Early
21,FMR1,Early
22,ERP29,Early
23,FLJ20021,Early
24,GADL1,Early
25,C2orf15,Early
26,B3GAT2,Early
28,ALDH3A1,Early
30,ADD2,Early
31,BCR,Early
32,AK3,Early
33,ATP8B3,Early
35,FOXP4,Early
36,ELF1,Early
37,AFAP1L2,Early
38,BRD1,Early
40,DENND5B-AS1,Early
41,CHPT1,Early
42,CLMP,Early
43,FAM131C,Early
44,C16orf86,Early
45,FAM66C,Early
46,CASP8AP2,Early
47,CTDSPL2,Early
48,EBF4,Early
49,FKBP5,Early
50,FAM66D,Early
51,CCDC171,Early
52,FLT3,Early
53,CELSR2,Early
54,ARID1A,Early
55,CNFN,Early
56,CDK5RAP2,Early
57,FRMPD3,Early
58,C18orf54,Early
59,C5orf34,Early
60,ERICH6-AS1,Early
61,ABLIM1,Early
62,DPYSL2,Early
64,ATF7IP2,Early
65,BRF1,Early
66,CCDC24,Early
67,FBXO15,Early
68,FAM227B,Early
69,FN3K,Early
70,C2orf91,Early
71,DLGAP4-AS1,Early
72,CEP192,Early
73,DNAH6,Early
74,EML6,Early
75,ENTPD5,Early
77,CDYL,Early
78,FAF1,Early
80,AGAP1,Early
81,EVC,Early
83,DCLK2,Early
84,DAND5,Early
85,ATP13A4,Early
86,BOLA3-AS1,Early
87,CD27,Early
90,CCM2L,Early
92,CCDC73,Early
94,CCDC87,Early
95,ATG10,Early
96,CEP57L1,Early
97,ARL6IP6,Early
98,ESYT2,Early
99,CCDC134,Early
100,AIG1,Early
101,ATP2C1,Early
102,CDKAL1,Early
103,APBB2,Early
104,ARL13B,Early
105,DDX11-AS1,Early
106,CENPP,Early
107,C22orf15,Early
108,BCL11A,Early
109,BRI3BP,Early
110,CNTLN,Early
111,ALDH7A1,Early
112,CTNNAL1,Early
113,CASC15,Early
114,AKAP7,Early
115,CERK,Early
117,FAM66A,Early
119,CEACAM21,Early
120,CALCOCO2,Early
122,C2CD4C,Early
123,FAXC,Early
125,FAM167B,Early
131,AK5,Early
132,FAM27C,Early
133,FLG-AS1,Early
134,FAM163B,Early
135,DYDC1,Early
136,DYDC2,Early
137,AXDND1,Early
140,ASIC4,Early
141,CYP4F3,Early
142,C19orf33,Early
143,FAM71C,Early
145,ASAH2B,Early
146,CDK18,Early
148,ETFA,Early
149,AGPAT4,Early
150,CNTD1,Early
152,ALDH3B2,Early
153,ARHGAP28,Early
155,DPP9-AS1,Early
160,ACSS3,Early
161,AUTS2,Early
163,ABHD12,Early
164,BDH2,Early
166,FAM171B,Early
167,FSTL4,Early
168,ARID1B,Early
169,DZIP3,Early
170,CYB5RL,Early
172,CARS2,Early
173,FZD2,Early
174,ERO1B,Early
175,CNOT10,Early
176,DENND5B,Early
177,ABCB10,Early
178,CTPS2,Early
179,CAPRIN2,Early
180,CD200,Early
181,ACP6,Early
183,DENND6A,Early
185,FAM72A,Early
186,ASIC3,Early
187,GABRG1,Early
189,C9orf131,Early
190,FHL2,Early
192,ASPDH,Early
193,BHLHA15,Early
198,ACTR1B,Early
199,CBLN3,Early
200,B3GALT1,Early
201,CCDC6,Early
203,FBXO48,Early
204,C17orf67,Early
205,ANKRD62P1-PARP4P3,Early
206,AMOTL2,Early
208,DACT1,Early
209,C1QL1,Early
210,DIO2-AS1,Early
212,DCC,Early
213,FLRT3,Early
214,FLNC,Early
215,EPHA6,Early
