RowOrder,GeneID,Cluster,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11
1,CENPC,Early,-0.309478958,1.160457096,-1.297342698,0.635089097,-0.000828739,-0.514654991,-0.661710861,0.52576133,0.164266327,1.11761576,-1.971700357,1.152526994
2,DMTF1,Early,-1.265754036,0.560078378,-0.365568121,-1.195063384,1.166083011,1.535342892,-0.409223752,-0.360290538,-0.625455511,0.627838808,1.320902099,-0.988889847
3,F12,Early,1.380536725,-0.151614059,-0.433618819,-0.642461082,-0.825250822,-0.038341273,1.187509758,0.353223901,0.408110788,1.432052207,-1.820214455,-0.849932869
4,GAL3ST3,Early,1.090153907,0.473626507,1.728567975,0.130999291,0.208790751,-0.380159136,1.263093891,-0.143311311,-1.092940469,-1.092940469,-1.092940469,-1.092940469
7,DHH,Early,1.567348872,-0.643527142,1.845575069,-0.643527142,-0.643527142,-0.643527142,0.468502829,-0.643527142,1.266790362,-0.643527142,-0.643527142,-0.643527142
8,DUOX1,Early,-0.140956992,0.178463578,-0.732482572,-1.820119473,-0.05111919,1.912936837,0.303656221,-0.042985784,-0.772468002,-0.539795331,0.144783254,1.560087454
9,CTSV,Early,-0.043498343,2.809562617,-0.607952657,0.829846949,-0.607952657,-0.489249596,-0.489088088,0.217923228,-0.607952657,0.204266519,-0.607952657,-0.607952657
10,C1R,Early,-0.083342493,-0.148123804,2.169244911,-0.466690703,1.523782409,-1.455144002,-0.179368202,-0.261512427,-1.149568755,-0.059570614,0.352326705,-0.242033026
14,FRMPD2,Early,0.382152228,0.000168072,-0.133209091,2.101378446,0.369786657,-1.093671047,-1.093671047,1.167644479,0.150233785,-1.093671047,0.336529613,-1.093671047
15,CCL26,Early,-0.427309483,-0.427309483,-0.370293476,-0.427309483,0.501205004,-0.427309483,-0.427309483,-0.427309483,0.275043791,-0.427309483,3.012520547,-0.427309483
