UNIQUE,ID,Name,Description,MEF-IC,mESC-nIC,RAW264.7-IC,mESC-IC,HL-1-IC,HL-1-RBDmap,Enzyme,Metabolism,"""Metabolic.Enzyme"""
,,,,Mm_Boucas2015,Mm_He2016,Mm_Liepelt2016,Mm_Kwon2013,Mm_Liao2016_IC,Mm_Liao2016_RBDmap,,,
0610030E20Rik,ENSMUSG00000058706;ENSMUSG00000108680,0610030E20Rik,RIKEN cDNA 0610030E20 gene,no,no,YES,no,no,no,FALSE,FALSE,FALSE
1110004F10Rik,ENSMUSG00000030663,1110004F10Rik,RIKEN cDNA 1110004F10 gene,no,no,YES,no,no,YES,FALSE,FALSE,FALSE
1110008L16Rik,ENSMUSG00000021023,1110008L16Rik,RIKEN cDNA 1110008L16 gene,no,no,no,no,YES,no,FALSE,FALSE,FALSE
1110037F02Rik,ENSMUSG00000040720,1110037F02Rik,RIKEN cDNA 1110037F02 gene,no,no,no,no,YES,no,FALSE,FALSE,FALSE
1700009N14Rik,ENSMUSG00000028287,1700009N14Rik,RIKEN cDNA 1700009N14 gene,no,no,no,no,YES,no,FALSE,FALSE,FALSE
1700037H04Rik,ENSMUSG00000027327,1700037H04Rik,RIKEN cDNA 1700037H04 gene,no,no,YES,no,no,no,FALSE,FALSE,FALSE
1810009A15Rik,ENSMUSG00000071653,1810009A15Rik,RIKEN cDNA 1810009A15 gene,no,YES,YES,no,no,no,FALSE,FALSE,FALSE
2210010C04Rik,ENSMUSG00000029882,2210010C04Rik,RIKEN cDNA 2210010C04 gene,YES,no,YES,no,no,no,FALSE,FALSE,FALSE
2210016L21Rik,ENSMUSG00000029559,2210016L21Rik,RIKEN cDNA 2210016L21 gene,no,no,YES,YES,no,no,FALSE,FALSE,FALSE
2310033P09Rik,ENSMUSG00000020441,2310033P09Rik,RIKEN cDNA 2310033P09 gene,no,no,YES,no,no,no,FALSE,FALSE,FALSE
2410004B18Rik,ENSMUSG00000036873,2410004B18Rik,RIKEN cDNA 2410004B18 gene,no,no,YES,no,YES,no,FALSE,FALSE,FALSE
2410015M20Rik,ENSMUSG00000049760,2410015M20Rik,RIKEN cDNA 2410015M20 gene,no,YES,no,no,no,no,FALSE,FALSE,FALSE
2810417H13Rik,ENSMUSG00000040204,2810417H13Rik,RIKEN cDNA 2810417H13 gene,no,no,YES,no,no,no,FALSE,FALSE,FALSE
A230050P20Rik,ENSMUSG00000038884,A230050P20Rik,RIKEN cDNA A230050P20 gene,no,no,YES,no,no,no,FALSE,FALSE,FALSE
A830080D01Rik,ENSMUSG00000044150,A830080D01Rik,RIKEN cDNA A830080D01 gene,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Aatf,ENSMUSG00000018697,Aatf,apoptosis antagonizing transcription factor,YES,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Abcb7,ENSMUSG00000031333,Abcb7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Abce1,ENSMUSG00000058355,Abce1,"ATP-binding cassette, sub-family E (OABP), member 1",no,no,no,no,no,YES,FALSE,FALSE,FALSE
Abcf1,ENSMUSG00000038762,Abcf1,"ATP-binding cassette, sub-family F (GCN20), member 1",no,no,no,YES,YES,no,FALSE,FALSE,FALSE
Abcf2,ENSMUSG00000028953,Abcf2,"ATP-binding cassette, sub-family F (GCN20), member 2",no,no,YES,no,YES,no,FALSE,FALSE,FALSE
Abhd12,ENSMUSG00000032046,Abhd12,abhydrolase domain containing 12,no,YES,no,no,no,no,TRUE,FALSE,FALSE
Abt1,ENSMUSG00000036376,Abt1,activator of basal transcription 1,no,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Acaa1a,ENSMUSG00000036138,Acaa1a,acetyl-Coenzyme A acyltransferase 1A,no,YES,no,no,no,no,TRUE,TRUE,TRUE
Acad9,ENSMUSG00000027710,Acad9,"acyl-Coenzyme A dehydrogenase family, member 9",no,YES,no,no,no,no,FALSE,TRUE,FALSE
Acadl,ENSMUSG00000026003,Acadl,"acyl-Coenzyme A dehydrogenase, long-chain",no,no,no,no,YES,no,FALSE,TRUE,FALSE
Acadm,ENSMUSG00000062908,Acadm,"acyl-Coenzyme A dehydrogenase, medium chain",no,YES,no,no,YES,no,TRUE,TRUE,TRUE
Acads,ENSMUSG00000029545,Acads,"acyl-Coenzyme A dehydrogenase, short chain",no,YES,no,no,no,no,TRUE,TRUE,TRUE
Acan,ENSMUSG00000030607,Acan,aggrecan,YES,no,no,no,no,no,FALSE,FALSE,FALSE
Acin1,ENSMUSG00000022185,Acin1,apoptotic chromatin condensation inducer 1,no,YES,YES,no,YES,no,FALSE,FALSE,FALSE
Acly,ENSMUSG00000020917,Acly,ATP citrate lyase,no,no,no,no,YES,no,TRUE,TRUE,TRUE
Aco1,ENSMUSG00000028405,Aco1,aconitase 1,no,no,no,no,YES,no,TRUE,FALSE,FALSE
Aco2,ENSMUSG00000022477,Aco2,"aconitase 2, mitochondrial",no,YES,no,no,YES,YES,TRUE,TRUE,TRUE
Acot9,ENSMUSG00000025287,Acot9,acyl-CoA thioesterase 9,no,YES,no,no,no,no,FALSE,TRUE,FALSE
Acox1,ENSMUSG00000020777,Acox1,"acyl-Coenzyme A oxidase 1, palmitoyl",no,YES,no,no,no,no,TRUE,TRUE,TRUE
Acsl3,ENSMUSG00000032883,Acsl3,acyl-CoA synthetase long-chain family member 3,no,YES,no,no,no,no,TRUE,TRUE,TRUE
Acta2,ENSMUSG00000035783,Acta2,"actin, alpha 2, smooth muscle, aorta",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Actg1,ENSMUSG00000062825,Actg1,"actin, gamma, cytoplasmic 1",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Actl6a,ENSMUSG00000027671,Actl6a,actin-like 6A,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Actn1,ENSMUSG00000015143,Actn1,"actinin, alpha 1",no,no,no,YES,no,no,FALSE,FALSE,FALSE
Actn3,ENSMUSG00000006457,Actn3,actinin alpha 3,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Actn4,ENSMUSG00000054808,Actn4,actinin alpha 4,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Actr3,ENSMUSG00000026341,Actr3,ARP3 actin-related protein 3,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Actr5,ENSMUSG00000037761,Actr5,ARP5 actin-related protein 5,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Actr8,ENSMUSG00000015971,Actr8,ARP8 actin-related protein 8,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Adar,ENSMUSG00000027951,Adar,"adenosine deaminase, RNA-specific",no,no,YES,no,YES,no,TRUE,FALSE,FALSE
Adarb1,ENSMUSG00000020262,Adarb1,"adenosine deaminase, RNA-specific, B1",no,no,no,no,YES,no,TRUE,FALSE,FALSE
Add1,ENSMUSG00000029106,Add1,adducin 1 (alpha),no,YES,no,no,no,no,FALSE,FALSE,FALSE
Add3,ENSMUSG00000025026,Add3,adducin 3 (gamma),no,YES,no,no,no,no,FALSE,FALSE,FALSE
Adgrv1,ENSMUSG00000069170,Adgrv1,adhesion G protein-coupled receptor V1,YES,no,no,no,no,no,FALSE,FALSE,FALSE
Adnp,ENSMUSG00000051149,Adnp,activity-dependent neuroprotective protein,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Adnp2,ENSMUSG00000053950,Adnp2,ADNP homeobox 2,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Aebp2,ENSMUSG00000030232,Aebp2,AE binding protein 2,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Aen,ENSMUSG00000030609,Aen,apoptosis enhancing nuclease,no,no,YES,YES,no,no,FALSE,FALSE,FALSE
Afdn,ENSMUSG00000068036,Afdn,"afadin, adherens junction formation factor",no,YES,no,no,no,YES,FALSE,FALSE,FALSE
Afg3l1,ENSMUSG00000031967,Afg3l1,AFG3-like AAA ATPase 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Afg3l2,ENSMUSG00000024527,Afg3l2,AFG3-like AAA ATPase 2,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Agap1,ENSMUSG00000055013,Agap1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ago1,ENSMUSG00000041530,Ago1,argonaute RISC catalytic subunit 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Ago2,ENSMUSG00000036698,Ago2,argonaute RISC catalytic subunit 2,YES,YES,no,YES,YES,no,TRUE,FALSE,FALSE
Ahctf1,ENSMUSG00000026491,Ahctf1,AT hook containing transcription factor 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ahcyl2,ENSMUSG00000029772,Ahcyl2,S-adenosylhomocysteine hydrolase-like 2,no,no,no,no,no,YES,TRUE,FALSE,FALSE
Ahdc1,ENSMUSG00000037692,Ahdc1,"AT hook, DNA binding motif, containing 1",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ahnak,ENSMUSG00000069833,Ahnak,AHNAK nucleoprotein (desmoyokin),YES,YES,YES,no,YES,no,FALSE,FALSE,FALSE
Ahnak2,ENSMUSG00000072812,Ahnak2,AHNAK nucleoprotein 2,no,no,no,no,YES,no,FALSE,FALSE,FALSE
AI837181,ENSMUSG00000047423,AI837181,expressed sequence AI837181,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Aim2,ENSMUSG00000037860,Aim2,absent in melanoma 2,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Aimp1,ENSMUSG00000028029,Aimp1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1,no,no,no,no,no,YES,FALSE,FALSE,FALSE
Ak4,ENSMUSG00000028527,Ak4,adenylate kinase 4,no,YES,no,no,no,no,TRUE,TRUE,TRUE
Akap1,ENSMUSG00000018428,Akap1,A kinase (PRKA) anchor protein 1,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Akap8,ENSMUSG00000024045,Akap8,A kinase (PRKA) anchor protein 8,no,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Akap8l,ENSMUSG00000002625,Akap8l,A kinase (PRKA) anchor protein 8-like,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Aldh2,ENSMUSG00000029455,Aldh2,"aldehyde dehydrogenase 2, mitochondrial",no,YES,no,no,YES,YES,TRUE,TRUE,TRUE
Aldh6a1,ENSMUSG00000021238,Aldh6a1,"aldehyde dehydrogenase family 6, subfamily A1",no,no,no,no,no,YES,TRUE,TRUE,TRUE
Aldoa,ENSMUSG00000030695,Aldoa,"aldolase A, fructose-bisphosphate",no,YES,no,no,YES,no,TRUE,TRUE,TRUE
Alg13,ENSMUSG00000041718,Alg13,asparagine-linked glycosylation 13,no,no,no,YES,YES,no,TRUE,FALSE,FALSE
Alkbh5,ENSMUSG00000042650,Alkbh5,"alkB homolog 5, RNA demethylase",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Alyref,ENSMUSG00000025134,Alyref,Aly/REF export factor,YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Ammecr1,ENSMUSG00000042225,Ammecr1,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Amn,ENSMUSG00000021278,Amn,amnionless,no,no,no,no,no,YES,FALSE,TRUE,FALSE
Amt,ENSMUSG00000032607,Amt,aminomethyltransferase,no,YES,no,no,no,no,TRUE,TRUE,TRUE
Anapc1,ENSMUSG00000014355,Anapc1,anaphase promoting complex subunit 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ankhd1,ENSMUSG00000024483,Ankhd1,ankyrin repeat and KH domain containing 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Ankrd17,ENSMUSG00000055204,Ankrd17,ankyrin repeat domain 17,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Ankzf1,ENSMUSG00000026199,Ankzf1,ankyrin repeat and zinc finger domain containing 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Anln,ENSMUSG00000036777,Anln,"anillin, actin binding protein",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Anp32b,ENSMUSG00000028333,Anp32b,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",no,no,YES,YES,no,no,FALSE,FALSE,FALSE
Anp32e,ENSMUSG00000015749,Anp32e,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E",no,no,YES,no,no,no,FALSE,FALSE,FALSE
Anxa1,ENSMUSG00000024659,Anxa1,annexin A1,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Anxa11,ENSMUSG00000021866,Anxa11,annexin A11,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Anxa2,ENSMUSG00000032231,Anxa2,annexin A2,YES,no,YES,no,no,no,FALSE,FALSE,FALSE
Anxa6,ENSMUSG00000018340,Anxa6,annexin A6,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Anxa7,ENSMUSG00000021814,Anxa7,annexin A7,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Ap1b1,ENSMUSG00000009090,Ap1b1,"adaptor protein complex AP-1, beta 1 subunit",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ap2a1,ENSMUSG00000060279,Ap2a1,"adaptor-related protein complex 2, alpha 1 subunit",no,YES,no,no,no,no,FALSE,TRUE,FALSE
Ap2a2,ENSMUSG00000002957,Ap2a2,"adaptor-related protein complex 2, alpha 2 subunit",no,YES,no,no,no,no,FALSE,TRUE,FALSE
Ap2m1,ENSMUSG00000022841,Ap2m1,"adaptor-related protein complex 2, mu 1 subunit",no,YES,no,no,YES,no,FALSE,TRUE,FALSE
Apex1,ENSMUSG00000035960,Apex1,apurinic/apyrimidinic endonuclease 1,no,YES,no,no,no,no,TRUE,FALSE,FALSE
Api5,ENSMUSG00000027193,Api5,apoptosis inhibitor 5,YES,YES,YES,YES,no,no,FALSE,FALSE,FALSE
Apobec1,ENSMUSG00000040613,Apobec1,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",no,no,YES,no,no,no,TRUE,FALSE,FALSE
Apobec3,ENSMUSG00000009585,Apobec3,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3",no,no,no,YES,YES,YES,FALSE,FALSE,FALSE
Apol8,ENSMUSG00000056656,Apol8,apolipoprotein L 8,YES,no,no,no,no,no,FALSE,FALSE,FALSE
Aqr,ENSMUSG00000040383,Aqr,aquarius,no,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Arcn1,ENSMUSG00000032096,Arcn1,archain 1,no,YES,no,no,no,YES,FALSE,FALSE,FALSE
Arf5,ENSMUSG00000020440,Arf5,ADP-ribosylation factor 5,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Arfgef1,ENSMUSG00000067851,Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited),no,no,no,no,no,YES,FALSE,FALSE,FALSE
Arglu1,ENSMUSG00000040459,Arglu1,arginine and glutamate rich 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Arhgdia,ENSMUSG00000025132,Arhgdia,Rho GDP dissociation inhibitor (GDI) alpha,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Arhgdib,ENSMUSG00000030220,Arhgdib,"Rho, GDP dissociation inhibitor (GDI) beta",no,no,YES,no,no,no,FALSE,FALSE,FALSE
Arhgef1,ENSMUSG00000040940,Arhgef1,Rho guanine nucleotide exchange factor (GEF) 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Arhgef12,ENSMUSG00000059495,Arhgef12,Rho guanine nucleotide exchange factor (GEF) 12,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Arid1a,ENSMUSG00000007880,Arid1a,AT rich interactive domain 1A (SWI-like),no,YES,no,no,no,no,FALSE,FALSE,FALSE
Arid4a,ENSMUSG00000048118,Arid4a,AT rich interactive domain 4A (RBP1-like),no,YES,no,no,no,no,FALSE,FALSE,FALSE
Arid4b,ENSMUSG00000039219,Arid4b,AT rich interactive domain 4B (RBP1-like),no,YES,no,no,no,no,FALSE,FALSE,FALSE
Arid5b,ENSMUSG00000019947,Arid5b,AT rich interactive domain 5B (MRF1-like),no,YES,no,no,no,no,FALSE,FALSE,FALSE
Armcx2,ENSMUSG00000033436,Armcx2,"armadillo repeat containing, X-linked 2",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Arpc1b,ENSMUSG00000029622,Arpc1b,"actin related protein 2/3 complex, subunit 1B",no,YES,no,no,no,YES,FALSE,FALSE,FALSE
Arpc3,ENSMUSG00000029465,Arpc3,"actin related protein 2/3 complex, subunit 3",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Arpc4,ENSMUSG00000079426,Arpc4,"actin related protein 2/3 complex, subunit 4",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Arpp19,ENSMUSG00000007656,Arpp19,cAMP-regulated phosphoprotein 19,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Ascc1,ENSMUSG00000044475,Ascc1,activating signal cointegrator 1 complex subunit 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Ascc3,ENSMUSG00000038774,Ascc3,activating signal cointegrator 1 complex subunit 3,no,no,no,no,YES,YES,TRUE,FALSE,FALSE
Atad2b,ENSMUSG00000052812,Atad2b,"ATPase family, AAA domain containing 2B",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Atf1,ENSMUSG00000023027,Atf1,activating transcription factor 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Atf2,ENSMUSG00000027104,Atf2,activating transcription factor 2,no,YES,no,no,no,no,TRUE,FALSE,FALSE
Atic,ENSMUSG00000026192,Atic,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,no,no,no,no,YES,no,TRUE,TRUE,TRUE
Atox1,ENSMUSG00000018585,Atox1,antioxidant 1 copper chaperone,YES,no,no,no,no,no,FALSE,FALSE,FALSE
Atp13a1,ENSMUSG00000031862,Atp13a1,ATPase type 13A1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Atp1a1,ENSMUSG00000033161,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",no,YES,no,no,YES,YES,TRUE,FALSE,FALSE
Atp1b1,ENSMUSG00000026576,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Atp2a2,ENSMUSG00000029467,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",no,no,no,no,YES,YES,TRUE,FALSE,FALSE
Atp5a1,ENSMUSG00000025428,Atp5a1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",no,YES,YES,no,YES,YES,FALSE,TRUE,FALSE
