GeneID,TrnID,PepID,GeneName,GeneFamily,UniProtKB_ID,UniProtKB_Gene_Name
ENSG00000101126,ENST00000621696,ENSP00000483881,ADNP,Homeobox,Q9H2P0,ADNP_HUMAN
ENSG00000101544,ENST00000262198,ENSP00000262198,ADNP2,TF_others,Q6IQ32,ADNP2_HUMAN
ENSG00000139154,ENST00000266508,ENSP00000266508,AEBP2,zf-C2H2,Q6ZN18,AEBP2_HUMAN
ENSG00000172493,ENST00000395146,ENSP00000378578,AFF1,AF-4,P51825,AFF1_HUMAN
ENSG00000155966,ENST00000370460,ENSP00000359489,AFF2,AF-4,P51816,AFF2_HUMAN
ENSG00000144218,ENST00000672756,ENSP00000500419,AFF3,AF-4,P51826,AFF3_HUMAN
ENSG00000072364,ENST00000265343,ENSP00000265343,AFF4,AF-4,Q9UHB7,AFF4_HUMAN
ENSG00000153207,ENST00000648844,ENSP00000497061,AHCTF1,TF_others,Q8WYP5,ELYS_HUMAN
ENSG00000106546,ENST00000242057,ENSP00000242057,AHR,bHLH,P35869,AHR_HUMAN
ENSG00000063438,ENST00000684583,ENSP00000507476,AHRR,bHLH,A9YTQ3,AHRR_HUMAN
ENSG00000160224,ENST00000291582,ENSP00000291582,AIRE,SAND,O43918,AIRE_HUMAN
ENSG00000106948,ENST00000374088,ENSP00000363201,AKNA,TF_others,Q7Z591,AKNA_HUMAN
ENSG00000180318,ENST00000316824,ENSP00000315417,ALX1,Homeobox,Q15699,ALX1_HUMAN
ENSG00000156150,ENST00000647563,ENSP00000497310,ALX3,Homeobox,O95076,ALX3_HUMAN
ENSG00000052850,ENST00000652299,ENSP00000498217,ALX4,Homeobox,Q9H161,ALX4_HUMAN
ENSG00000227059,ENST00000545940,ENSP00000439513,ANHX,Homeobox,E9PGG2,ANHX_HUMAN
ENSG00000148513,ENST00000361713,ENSP00000354432,ANKRD30A,TF_others,Q9BXX3,AN30A_HUMAN
ENSG00000169083,ENST00000374690,ENSP00000363822,AR,ESR-like,P10275,ANDR_HUMAN
ENSG00000186103,ENST00000334384,ENSP00000335578,ARGFX,Homeobox,A6NJG6,ARGFX_HUMAN
ENSG00000117713,ENST00000324856,ENSP00000320485,ARID1A,ARID,O14497,ARI1A_HUMAN
ENSG00000049618,ENST00000636930,ENSP00000490491,ARID1B,ARID,Q8NFD5,ARI1B_HUMAN
ENSG00000189079,ENST00000334344,ENSP00000335044,ARID2,ARID,Q68CP9,ARID2_HUMAN
ENSG00000116017,ENST00000263620,ENSP00000263620,ARID3A,ARID,Q99856,ARI3A_HUMAN
ENSG00000179361,ENST00000346246,ENSP00000343126,ARID3B,ARID,Q8IVW6,ARI3B_HUMAN
ENSG00000205143,ENST00000378909,ENSP00000368189,ARID3C,ARID,A6NKF2,ARI3C_HUMAN
ENSG00000032219,ENST00000355431,ENSP00000347602,ARID4A,ARID,P29374,ARI4A_HUMAN
ENSG00000054267,ENST00000264183,ENSP00000264183,ARID4B,ARID,Q4LE39,ARI4B_HUMAN
ENSG00000196843,ENST00000357485,ENSP00000350078,ARID5A,ARID,Q03989,ARI5A_HUMAN
ENSG00000150347,ENST00000279873,ENSP00000279873,ARID5B,ARID,Q14865,ARI5B_HUMAN
ENSG00000143437,ENST00000358595,ENSP00000351407,ARNT,bHLH,P27540,ARNT_HUMAN
ENSG00000172379,ENST00000303329,ENSP00000307479,ARNT2,bHLH,Q9HBZ2,ARNT2_HUMAN
ENSG00000133794,ENST00000403290,ENSP00000384517,ARNTL,bHLH,O00327,BMAL1_HUMAN
ENSG00000029153,ENST00000266503,ENSP00000266503,ARNTL2,bHLH,Q8WYA1,BMAL2_HUMAN
ENSG00000004848,ENST00000379044,ENSP00000368332,ARX,Homeobox,Q96QS3,ARX_HUMAN
ENSG00000139352,ENST00000266744,ENSP00000266744,ASCL1,bHLH,P50553,ASCL1_HUMAN
ENSG00000183734,ENST00000331289,ENSP00000332293,ASCL2,bHLH,Q99929,ASCL2_HUMAN
ENSG00000176009,ENST00000531618,ENSP00000435770,ASCL3,bHLH,Q9NQ33,ASCL3_HUMAN
ENSG00000187855,ENST00000342331,ENSP00000345420,ASCL4,bHLH,Q6XD76,ASCL4_HUMAN
ENSG00000232237,ENST00000449188,ENSP00000472681,ASCL5,bHLH,Q7RTU5,ASCL5_HUMAN
ENSG00000123268,ENST00000262053,ENSP00000262053,ATF1,TF_bZIP,P18846,ATF1_HUMAN
ENSG00000115966,ENST00000264110,ENSP00000264110,ATF2,TF_bZIP,P15336,ATF2_HUMAN
ENSG00000162772,ENST00000341491,ENSP00000344352,ATF3,TF_bZIP,P18847,ATF3_HUMAN
ENSG00000128272,ENST00000674920,ENSP00000501863,ATF4,TF_bZIP,P18848,ATF4_HUMAN
ENSG00000169136,ENST00000423777,ENSP00000396954,ATF5,TF_bZIP,Q9Y2D1,ATF5_HUMAN
ENSG00000118217,ENST00000367942,ENSP00000356919,ATF6,TF_bZIP,P18850,ATF6A_HUMAN
ENSG00000213676,ENST00000375203,ENSP00000364349,ATF6B,TF_bZIP,Q99941,ATF6B_HUMAN
ENSG00000170653,ENST00000420353,ENSP00000399465,ATF7,TF_bZIP,P17544,ATF7_HUMAN
ENSG00000267281,ENST00000591834,ENSP00000466174,ATF7-NPFF,TF_bZIP,K7ELQ4,
ENSG00000166454,ENST00000299575,ENSP00000299575,ATMIN,zf-C2H2,O43313,ATMIN_HUMAN
ENSG00000172238,ENST00000306011,ENSP00000302216,ATOH1,bHLH,Q92858,ATOH1_HUMAN
ENSG00000179774,ENST00000373673,ENSP00000362777,ATOH7,bHLH,Q8N100,ATOH7_HUMAN
ENSG00000168874,ENST00000306279,ENSP00000304676,ATOH8,bHLH,Q96SQ7,ATOH8_HUMAN
