pID,start,stop,max_Z,mean_Z,prot_name
P10072,224,289,5.42016421,4.822010758,ZN875_HUMAN
Q9Y692,217,275,4.61565977,4.458720388,GMEB1_HUMAN
Q9Y692,294,351,4.21297329,4.108446354,GMEB1_HUMAN
Q9UBX2,342,425,5.41193812,5.111420603,DUX4_HUMAN
Q16621,107,170,5.14371971,4.66037478,NFE2_HUMAN
Q969G2,245,306,4.64025738,4.378453467,LHX4_HUMAN
P51816,759,824,4.40120641,4.223747462,AFF2_HUMAN
Q16236,1,66,6.00865986,4.927450676,NF2L2_HUMAN
Q9HCX3,190,249,4.56934942,4.30002165,ZN304_HUMAN
O15015,961,1019,4.47233596,4.361230338,ZN646_HUMAN
Q8TAQ2,201,266,6.12658066,5.318091535,SMRC2_HUMAN
Q8TAQ2,596,661,5.8609975,5.063243705,SMRC2_HUMAN
Q5VVJ2,21,81,4.73862959,4.431015705,MYSM1_HUMAN
Q5VVJ2,345,403,4.57872367,4.350121607,MYSM1_HUMAN
Q6NSW7,220,279,4.23003957,4.14406386,NANP8_HUMAN
P10914,200,257,4.15562499,4.109874042,IRF1_HUMAN
P48436,248,325,4.88599001,4.530048014,SOX9_HUMAN
P55318,273,343,4.95359643,4.624849044,FOXA3_HUMAN
Q9HAZ2,30,102,5.7802,5.104204967,PRD16_HUMAN
P15923,1,69,5.47361543,4.96780415,TFE2_HUMAN
Q9H9S0,218,279,4.33919849,4.232209573,NANOG_HUMAN
Q9HC44,362,432,5.93016354,5.100867816,GPBL1_HUMAN
P09016,13,71,4.3956281,4.238925008,HXD4_HUMAN
Q8IWI9,2791,2866,5.69861096,4.956245653,MGAP_HUMAN
O14709,261,327,5.38131833,4.784116364,ZN197_HUMAN
P35398,179,243,4.44419243,4.272934738,RORA_HUMAN
Q13562,243,303,4.63024259,4.468139604,NDF1_HUMAN
Q13033,290,356,5.97368341,5.167864954,STRN3_HUMAN
Q13033,396,472,6.11742329,5.361504027,STRN3_HUMAN
Q9NRY4,453,516,4.95081631,4.557774114,RHG35_HUMAN
Q6NUN9,169,243,5.04266357,4.577504728,ZN746_HUMAN
Q8N7M2,38,95,4.34739723,4.242914054,ZN283_HUMAN
Q8N7M2,79,142,5.09744198,4.731385495,ZN283_HUMAN
Q92949,6,69,4.36185801,4.234683303,FOXJ1_HUMAN
A2RRD8,53,119,5.22166609,4.771625103,ZN320_HUMAN
P01100,1,59,4.8514119,4.527847963,FOS_HUMAN
P50553,175,237,6.49179222,5.214040444,ASCL1_HUMAN
Q92610,1,60,4.87553299,4.556681029,ZN592_HUMAN
Q8N344,187,245,4.52953882,4.367214808,MIER2_HUMAN
Q9H3D4,25,113,4.92998056,4.585118184,P63_HUMAN
Q9UK10,82,139,4.0795514,4.057244562,ZN225_HUMAN
P0CJ88,342,425,5.41168037,5.111179413,DU4L5_HUMAN
Q9NP71,327,384,4.48512928,4.301532562,MLXPL_HUMAN
Q32MZ4,152,231,5.52696801,4.894237574,LRRF1_HUMAN
Q9UQR1,32,91,4.11686489,4.087668467,ZN148_HUMAN
Q92670,182,251,5.69714266,5.101268735,ZN75C_HUMAN
P32242,293,350,4.22135582,4.13203421,OTX1_HUMAN
P35869,642,703,4.61734996,4.417356049,AHR_HUMAN
Q8WW38,9,95,5.68306799,5.087032944,FOG2_HUMAN
O75444,64,138,4.68640456,4.303966765,MAF_HUMAN
Q96JL9,166,231,5.77910876,5.184097056,ZN333_HUMAN
P13056,287,344,4.20080879,4.13132668,NR2C1_HUMAN
Q6ZMS4,65,126,5.10167731,4.759694801,ZN852_HUMAN
Q05516,62,119,4.6211232,4.382223698,ZBT16_HUMAN
Q92922,619,677,4.56306298,4.381367478,SMRC1_HUMAN
Q15562,1,63,4.31525391,4.175448012,TEAD2_HUMAN
P46100,487,564,5.23358569,4.823181245,ATRX_HUMAN
P46100,2165,2223,4.61964466,4.340252247,ATRX_HUMAN
Q9NZI5,13,80,5.44837831,4.737134733,GRHL1_HUMAN
Q8N3X6,64,129,5.6166051,4.849903608,LCORL_HUMAN
Q04864,453,511,4.23297593,4.136230347,REL_HUMAN
Q04864,561,620,4.30283818,4.163377847,REL_HUMAN
