GeneID,Cluster,entrez,symbol,chr,start,end,strand,biotype,description
ENSG00000196335,cluster1,56164,STK31,7,23710203,23832513,1,protein_coding,serine/threonine kinase 31
ENSG00000118004,cluster1,78989,COLEC11,2,3594832,3644644,1,protein_coding,collectin subfamily member 11
ENSG00000186297,cluster1,2558,GABRA5,15,26866911,26949208,1,protein_coding,gamma-aminobutyric acid type A receptor subunit alpha5
ENSG00000153162,cluster1,654,BMP6,6,7726099,7881728,1,protein_coding,bone morphogenetic protein 6
ENSG00000115963,cluster1,390,RND3,2,150468195,150539011,-1,protein_coding,Rho family GTPase 3
ENSG00000049323,cluster1,4052,LTBP1,2,32946953,33399509,1,protein_coding,latent transforming growth factor beta binding protein 1
ENSG00000135074,cluster1,8728,ADAM19,5,157395534,157575775,-1,protein_coding,ADAM metallopeptidase domain 19
ENSG00000049192,cluster1,11174,ADAMTS6,5,65148738,65481920,-1,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 6
ENSG00000197497,cluster1,79788,ZNF665,19,53159213,53193386,-1,protein_coding,zinc finger protein 665
ENSG00000196091,cluster1,4604,MYBPC1,12,101568353,101686028,1,protein_coding,myosin binding protein C1
ENSG00000183850,cluster1,100129543,ZNF730,19,23075210,23147221,1,protein_coding,zinc finger protein 730
ENSG00000132669,cluster1,54453,RIN2,20,19757606,20002457,1,protein_coding,Ras and Rab interactor 2
ENSG00000205744,cluster1,79958,DENND1C,19,6467207,6482557,-1,protein_coding,DENN domain containing 1C
ENSG00000197635,cluster1,1803,DPP4,2,161992245,162074394,-1,protein_coding,dipeptidyl peptidase 4
ENSG00000170962,cluster1,80310,PDGFD,11,103907189,104164379,-1,protein_coding,platelet derived growth factor D
ENSG00000120328,cluster1,56124,PCDHB12,5,141208697,141212571,1,protein_coding,protocadherin beta 12
ENSG00000086205,cluster1,2346,FOLH1,11,49145092,49208638,-1,protein_coding,folate hydrolase 1
ENSG00000164659,cluster1,222223,ELAPOR2,7,86876906,87059654,-1,protein_coding,endosome-lysosome associated apoptosis and autophagy regulator family member 2
ENSG00000113209,cluster1,26167,PCDHB5,5,141135206,141138615,1,protein_coding,protocadherin beta 5
ENSG00000133805,cluster1,272,AMPD3,11,10308313,10507579,1,protein_coding,adenosine monophosphate deaminase 3
ENSG00000171617,cluster1,8507,ENC1,5,74627406,74641424,-1,protein_coding,ectodermal-neural cortex 1
ENSG00000142609,cluster1,85452,CFAP74,1,1921951,2003837,-1,protein_coding,cilia and flagella associated protein 74
ENSG00000080493,cluster1,8671,SLC4A4,4,71062667,71572087,1,protein_coding,solute carrier family 4 member 4
ENSG00000173868,cluster1,162466,PHOSPHO1,17,49223366,49230787,-1,protein_coding,phosphoethanolamine/phosphocholine phosphatase 1
ENSG00000256229,cluster1,90649,ZNF486,19,20167214,20200488,1,protein_coding,zinc finger protein 486
ENSG00000179046,cluster1,205860,TRIML2,4,188091272,188109603,-1,protein_coding,tripartite motif family like 2
ENSG00000131668,cluster1,56033,BARX1,9,93951627,93955355,-1,protein_coding,BARX homeobox 1
ENSG00000160223,cluster1,23308,ICOSLG,21,44215382,44241446,-1,protein_coding,inducible T cell costimulator ligand
ENSG00000160223,cluster1,102723996,ICOSLG,21,44215382,44241446,-1,protein_coding,inducible T cell costimulator ligand
ENSG00000117525,cluster1,2152,F3,1,94529173,94541759,-1,protein_coding,"coagulation factor III, tissue factor"
ENSG00000164744,cluster1,256979,SUN3,7,47987148,48029119,-1,protein_coding,Sad1 and UNC84 domain containing 3
ENSG00000174460,cluster1,170261,ZCCHC12,X,118823824,118826968,1,protein_coding,zinc finger CCHC-type containing 12
ENSG00000114378,cluster1,3373,HYAL1,3,50299890,50312381,-1,protein_coding,hyaluronidase 1
ENSG00000144847,cluster1,152404,IGSF11,3,118900557,119146068,-1,protein_coding,immunoglobulin superfamily member 11
ENSG00000167562,cluster1,55762,ZNF701,19,52555822,52587174,1,protein_coding,zinc finger protein 701
ENSG00000082497,cluster1,56256,SERTAD4,1,210232796,210246631,1,protein_coding,SERTA domain containing 4
ENSG00000267041,cluster1,342892,ZNF850,19,36714383,36772825,-1,protein_coding,zinc finger protein 850
ENSG00000178882,cluster1,144347,RFLNA,12,123973241,124316024,1,protein_coding,refilin A
ENSG00000178882,cluster1,100533183,RFLNA,12,123973241,124316024,1,protein_coding,refilin A
ENSG00000148942,cluster1,159963,SLC5A12,11,26667020,26723427,-1,protein_coding,solute carrier family 5 member 12
ENSG00000119686,cluster1,55640,FLVCR2,14,75578620,75663214,1,protein_coding,FLVCR heme transporter 2
ENSG00000187808,cluster1,347454,SOWAHD,X,119758588,119760202,1,protein_coding,sosondowah ankyrin repeat domain family member D
ENSG00000175556,cluster1,79836,LONRF3,X,118974614,119018355,1,protein_coding,LON peptidase N-terminal domain and ring finger 3
ENSG00000181781,cluster1,284451,ODF3L2,19,463346,474983,-1,protein_coding,outer dense fiber of sperm tails 3 like 2
ENSG00000198939,cluster1,80108,ZFP2,5,178895898,178933212,1,protein_coding,ZFP2 zinc finger protein
ENSG00000253731,cluster1,56109,PCDHGA6,5,141373891,141512975,1,protein_coding,"protocadherin gamma subfamily A, 6"
ENSG00000257446,cluster1,729747,ZNF878,19,12043805,12052961,-1,protein_coding,zinc finger protein 878
ENSG00000030419,cluster1,22807,IKZF2,2,212999691,213152427,-1,protein_coding,IKAROS family zinc finger 2
ENSG00000164093,cluster1,5308,PITX2,4,110617423,110642123,-1,protein_coding,paired like homeodomain 2
ENSG00000171956,cluster1,27023,FOXB1,15,60004234,60061730,1,protein_coding,forkhead box B1
ENSG00000198915,cluster1,221002,RASGEF1A,10,43194535,43267065,-1,protein_coding,RasGEF domain family member 1A
ENSG00000113248,cluster1,56121,PCDHB15,5,141245395,141249365,1,protein_coding,protocadherin beta 15
ENSG00000162039,cluster1,254528,MEIOB,16,1833986,1872178,-1,protein_coding,meiosis specific with OB-fold
ENSG00000105464,cluster1,2906,GRIN2D,19,48393668,48444931,1,protein_coding,glutamate ionotropic receptor NMDA type subunit 2D
ENSG00000184005,cluster1,256435,ST6GALNAC3,1,76074746,76634603,1,protein_coding,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"
ENSG00000268940,cluster1,541466,CT45A1,X,135713639,135723539,1,protein_coding,cancer/testis antigen family 45 member A1
ENSG00000125726,cluster1,970,CD70,19,6583183,6604103,-1,protein_coding,CD70 molecule
ENSG00000127928,cluster1,2792,GNGT1,7,93591573,93911265,1,protein_coding,G protein subunit gamma transducin 1
ENSG00000154645,cluster1,140578,CHODL,21,17901263,18267373,1,protein_coding,chondrolectin
ENSG00000179918,cluster1,22928,SEPHS2,16,30443631,30445874,-1,protein_coding,selenophosphate synthetase 2
ENSG00000198429,cluster1,7620,ZNF69,19,11887782,11914329,1,protein_coding,zinc finger protein 69
ENSG00000112852,cluster1,56133,PCDHB2,5,141094606,141098703,1,protein_coding,protocadherin beta 2
ENSG00000237440,cluster1,100129842,ZNF737,19,20535825,20565809,-1,protein_coding,zinc finger protein 737
ENSG00000120324,cluster1,56126,PCDHB10,5,141192353,141195647,1,protein_coding,protocadherin beta 10
ENSG00000181885,cluster1,1366,CLDN7,17,7259903,7263983,-1,protein_coding,claudin 7
ENSG00000125657,cluster1,8744,TNFSF9,19,6531026,6535924,1,protein_coding,TNF superfamily member 9
ENSG00000196109,cluster1,163223,ZNF676,19,22179089,22215801,-1,protein_coding,zinc finger protein 676
