EnsenbleProteinID,EnsenbleGeneID,Name,Type,RefSeqGeneID,RefSeqProteinID
ENSP00000000442,ENSG00000173153,ESRRA,ESR-like,,NP_004442
ENSP00000006015,ENSG00000005073,HOXA11,Homeobox,NM_005523,NP_005514
ENSP00000007699,ENSG00000006047,YBX2,CSD,,NP_057066
ENSP00000008391,ENSG00000008197,TFAP2D,AP-2,NM_172238,NP_758438
ENSP00000020945,ENSG00000019549,SNAI2,zf-C2H2,NM_003068,NP_003059
ENSP00000040584,ENSG00000037965,HOXC8,Homeobox,NM_022658,NP_073149
ENSP00000054650,ENSG00000041988,THAP3,THAP,NM_001195753,NP_001182682
ENSP00000056233,ENSG00000050344,NFE2L3,TF_bZIP,NM_004289,NP_004280
ENSP00000078445,ENSG00000060566,CREB3L3,TF_bZIP,NM_032607,NP_115996
ENSP00000086933,ENSG00000063515,GSC2,Homeobox,NM_005315,NP_005306
ENSP00000162391,ENSG00000065970,FOXJ2,Fork_head,NM_018416,NP_060886
ENSP00000174618,ENSG00000070444,MNT,bHLH,NM_020310,NP_064706
ENSP00000177694,ENSG00000073861,TBX21,T-box,NM_013351,NP_037483
ENSP00000190165,ENSG00000064218,DMRT3,DM,NM_021240,NP_067063
ENSP00000196489,ENSG00000083817,ZNF416,zf-C2H2,NM_001353405,NP_060349; NP_001340334
ENSP00000201031,ENSG00000087510,TFAP2C,AP-2,NM_003222,NP_003213
ENSP00000204517,ENSG00000090447,TFAP4,bHLH,,NP_003214
ENSP00000206513,ENSG00000092067,CEBPE,TF_bZIP,NM_001805,NP_001796
ENSP00000215057,ENSG00000099326,MZF1,zf-C2H2,,NP_932172
ENSP00000215742,ENSG00000184436,THAP7,THAP,,NP_085050
ENSP00000216106,ENSG00000100281,HMGXB4,HMG,,NP_001349901; NP_001003681
ENSP00000216268,ENSG00000100426,ZBED4,zf-BED,NM_014838,NP_055653
ENSP00000216513,ENSG00000100625,SIX4,Homeobox,NM_017420,NP_059116
ENSP00000216923,ENSG00000020256,ZFP64,zf-C2H2,,NP_060667
ENSP00000217026,ENSG00000101057,MYBL2,MYB,NM_001278610,NP_002457
ENSP00000217086,ENSG00000101115,SALL4,zf-C2H2,NM_020436,NP_065169
ENSP00000217999,ENSG00000101883,RHOXF1,Homeobox,NM_139282,NP_644811
ENSP00000219069,ENSG00000006194,ZNF263,zf-C2H2,,NP_005732
ENSP00000219478,ENSG00000103199,ZNF500,zf-C2H2,NM_021646,NP_067678
ENSP00000219611,ENSG00000103326,CAPN15,TF_others,,NP_005623
ENSP00000219746,ENSG00000103460,TOX3,HMG,NM_001146188,NP_001073899
ENSP00000219782,ENSG00000103495,MAZ,zf-C2H2,NM_001276275,NP_001036004
ENSP00000220429,ENSG00000104064,GABPB1,TF_others,NM_016654,NP_005245; NP_001307839; NP_001307844
ENSP00000221327,ENSG00000167384,ZNF180,zf-C2H2,NM_013256,NP_037388; NP_001275688
ENSP00000221399,ENSG00000104804,TULP2,Tub,NM_003323,NP_003314
ENSP00000221452,ENSG00000104856,RELB,RHD,NM_006509,NP_006500
ENSP00000221665,ENSG00000179943,FIZ1,zf-C2H2,NM_032836,NP_116225
ENSP00000221996,ENSG00000105392,CRX,TF_Otx,,NP_000545
ENSP00000222122,ENSG00000105516,DBP,TF_bZIP,NM_001352,NP_001343
ENSP00000222329,ENSG00000105722,ERF,ETS,NM_006494,NP_006485
ENSP00000222339,ENSG00000105732,ZNF574,zf-C2H2,NM_001330519,NP_001317448
ENSP00000222584,ENSG00000105866,SP4,zf-C2H2,NM_003112,NP_003103
ENSP00000222598,ENSG00000105880,DLX5,Homeobox,NM_005221,
ENSP00000222718,ENSG00000105996,HOXA2,Homeobox,NM_006735,NP_006726
ENSP00000222726,ENSG00000106004,HOXA5,Homeobox,NM_019102,NP_061975
ENSP00000222728,ENSG00000106006,HOXA6,Homeobox,NM_024014,NP_076919
ENSP00000222753,ENSG00000106031,HOXA13,Homeobox,,
ENSP00000223459,ENSG00000229809,ZNF688,zf-C2H2,NM_145271,NP_660314
ENSP00000226067,ENSG00000108924,HLF,TF_bZIP,NM_002126,NP_002117
